id,single_alphabet,di-graph,Dwell_time,Interval_time,Latency_time,Flight_time,Uptoup_time
5e390b90d6e7f,3,34,89,87,254,176,165
5e390b90d6e7f,4,4meta1,78,80418,80584,80496,80506
5e390b90d6e7f,meta1,meta10,88,343,505,431,417
5e390b90d6e7f,0,09,74,144,288,218,214
5e390b90d6e7f,9,90,70,129,239,199,169
5e390b90d6e7f,0,03,40,830,974,870,934
5e390b90d6e7f,3,36,104,55,235,159,131
5e390b90d6e7f,6,68,76,165,294,241,218
5e390b90d6e7f,8,82,53,506,670,559,617
5e390b90d6e7f,2,29,111,119,308,230,197
5e390b90d6e7f,9,93,78,474,597,552,519
5e390b90d6e7f,3,34,45,100,225,145,180
5e390b90d6e7f,4,4meta1,80,52109,52270,52189,52190
5e390b90d6e7f,meta1,meta10,81,416,531,497,450
5e390b90d6e7f,0,00,34,182,267,216,233
5e390b90d6e7f,0,0bksp,51,1299,1435,1350,1384
5e390b90d6e7f,bksp,bksp9,85,514,653,599,568
5e390b90d6e7f,9,90,54,104,221,158,167
5e390b90d6e7f,0,03,63,543,710,606,647
5e390b90d6e7f,3,36,104,146,323,250,219
5e390b90d6e7f,6,68,73,209,337,282,264
5e390b90d6e7f,8,82,55,581,707,636,652
5e390b90d6e7f,2,29,71,192,319,263,248
5e390b90d6e7f,9,93,56,430,558,486,502
5e390b90d6e7f,3,34,72,148,272,220,200
5e390b90d6e7f,4,4meta1,52,45327,45488,45379,45436
5e390b90d6e7f,meta1,meta10,109,263,461,372,352
5e390b90d6e7f,0,09,89,129,272,218,183
5e390b90d6e7f,9,90,54,109,217,163,163
5e390b90d6e7f,0,03,54,566,673,620,619
5e390b90d6e7f,3,36,53,209,289,262,236
5e390b90d6e7f,6,68,27,209,323,236,296
5e390b90d6e7f,8,82,87,564,755,651,668
5e390b90d6e7f,2,29,104,144,335,248,231
5e390b90d6e7f,9,93,87,264,438,351,351
5e390b90d6e7f,3,34,87,114,269,201,182
5e390b90d6e7f,4,4meta1,68,39019,39162,39087,39094
5e390b90d6e7f,meta1,meta10,75,221,403,296,328
5e390b90d6e7f,0,09,107,129,291,236,184
5e390b90d6e7f,9,90,55,102,220,157,165
5e390b90d6e7f,0,03,63,549,714,612,651
5e390b90d6e7f,3,36,102,129,302,231,200
5e390b90d6e7f,6,68,71,215,340,286,269
5e390b90d6e7f,8,82,54,493,637,547,583
5e390b90d6e7f,2,29,90,142,304,232,214
5e390b90d6e7f,9,93,72,331,508,403,436
5e390b90d6e7f,3,34,105,73,252,178,147
5e390b90d6e7f,4,4meta1,74,36117,36283,36191,36209
5e390b90d6e7f,meta1,meta10,92,214,408,306,316
5e390b90d6e7f,0,09,102,156,332,258,230
5e390b90d6e7f,9,90,74,129,244,203,170
5e390b90d6e7f,0,03,41,546,691,587,650
5e390b90d6e7f,3,36,104,127,320,231,216
5e390b90d6e7f,6,68,89,180,322,269,233
5e390b90d6e7f,8,82,53,479,606,532,553
5e390b90d6e7f,2,29,74,143,286,217,212
5e390b90d6e7f,9,93,69,378,536,447,467
5e390b90d6e7f,3,34,89,101,240,190,151
5e390b90d6e7f,4,4meta1,50,38680,38792,38730,38742
5e390b90d6e7f,meta1,meta10,62,237,390,299,328
5e390b90d6e7f,0,09,91,146,291,237,200
5e390b90d6e7f,9,90,54,103,221,157,167
5e390b90d6e7f,0,03,64,529,696,593,632
5e390b90d6e7f,3,36,103,111,303,214,200
5e390b90d6e7f,6,68,89,196,374,285,285
5e390b90d6e7f,8,82,89,500,704,589,615
5e390b90d6e7f,2,29,115,205,400,320,285
5e390b90d6e7f,9,93,80,412,582,492,502
5e390b90d6e7f,3,34,90,113,270,203,180
5e390b90d6e7f,4,4meta1,67,31688,31817,31755,31750
5e390b90d6e7f,meta1,meta10,62,213,363,275,301
5e390b90d6e7f,0,09,88,148,290,236,202
5e390b90d6e7f,9,90,54,105,204,159,150
5e390b90d6e7f,0,03,45,542,696,587,651
5e390b90d6e7f,3,36,109,162,306,271,197
5e390b90d6e7f,6,68,35,129,237,164,202
5e390b90d6e7f,8,82,73,465,605,538,532
5e390b90d6e7f,2,29,67,263,416,330,349
5e390b90d6e7f,9,93,86,314,474,400,388
5e390b90d6e7f,3,34,74,109,239,183,165
5e390b90d6e7f,4,4meta1,56,45404,45541,45460,45485
5e390b90d6e7f,meta1,meta10,81,279,431,360,350
5e390b90d6e7f,0,09,71,147,271,218,200
5e390b90d6e7f,9,90,53,103,220,156,167
5e390b90d6e7f,0,03,64,536,748,600,684
5e390b90d6e7f,3,36,148,110,349,258,201
5e390b90d6e7f,6,68,91,195,339,286,248
5e390b90d6e7f,8,8bksp,53,2329,2425,2382,2372
5e390b90d6e7f,bksp,bksp8,43,1875,1973,1918,1930
